,시도명,시군구명,년,월,구분,count,mean,거래날짜,타입
77,경기도,광명시,2021,04,전세,412,35429,2021-04-01,apt
78,경기도,광명시,2021,05,월세,186,10211,2021-05-01,apt
79,경기도,광명시,2021,05,전세,575,34284,2021-05-01,apt
80,경기도,광명시,2021,06,월세,206,10727,2021-06-01,apt
81,경기도,광명시,2021,06,전세,612,36650,2021-06-01,apt
82,경기도,광명시,2021,07,월세,241,12048,2021-07-01,apt
83,경기도,광명시,2021,07,전세,612,38145,2021-07-01,apt
84,경기도,광주시,2021,01,월세,44,10529,2021-01-01,apt
85,경기도,광주시,2021,01,전세,199,30982,2021-01-01,apt
86,경기도,광주시,2021,02,월세,45,11180,2021-02-01,apt
87,경기도,광주시,2021,02,전세,190,30307,2021-02-01,apt
88,경기도,광주시,2021,03,월세,69,7244,2021-03-01,apt
89,경기도,광주시,2021,03,전세,219,30032,2021-03-01,apt
90,경기도,광주시,2021,04,월세,46,9643,2021-04-01,apt
91,경기도,광주시,2021,04,전세,171,31863,2021-04-01,apt
92,경기도,광주시,2021,05,월세,52,8326,2021-05-01,apt
93,경기도,광주시,2021,05,전세,250,32429,2021-05-01,apt
94,경기도,광주시,2021,06,월세,83,8914,2021-06-01,apt
95,경기도,광주시,2021,06,전세,317,33090,2021-06-01,apt
96,경기도,광주시,2021,07,월세,84,7536,2021-07-01,apt
97,경기도,광주시,2021,07,전세,330,33522,2021-07-01,apt
98,경기도,구리시,2021,01,월세,436,9826,2021-01-01,apt
99,경기도,구리시,2021,01,전세,174,36081,2021-01-01,apt
100,경기도,구리시,2021,02,월세,65,10906,2021-02-01,apt
101,경기도,구리시,2021,02,전세,177,33385,2021-02-01,apt
102,경기도,구리시,2021,03,월세,70,9198,2021-03-01,apt
103,경기도,구리시,2021,03,전세,223,33628,2021-03-01,apt
104,경기도,구리시,2021,04,월세,81,11223,2021-04-01,apt
105,경기도,구리시,2021,04,전세,224,34774,2021-04-01,apt
106,경기도,구리시,2021,05,월세,89,12593,2021-05-01,apt
107,경기도,구리시,2021,05,전세,212,34663,2021-05-01,apt
108,경기도,구리시,2021,06,월세,95,9804,2021-06-01,apt
109,경기도,구리시,2021,06,전세,258,34001,2021-06-01,apt
110,경기도,구리시,2021,07,월세,126,9738,2021-07-01,apt
111,경기도,구리시,2021,07,전세,285,34448,2021-07-01,apt
112,경기도,군포시,2021,01,월세,79,7822,2021-01-01,apt
113,경기도,군포시,2021,01,전세,359,28301,2021-01-01,apt
114,경기도,군포시,2021,02,월세,380,8376,2021-02-01,apt
115,경기도,군포시,2021,02,전세,385,25849,2021-02-01,apt
116,경기도,군포시,2021,03,월세,106,7610,2021-03-01,apt
117,경기도,군포시,2021,03,전세,468,26120,2021-03-01,apt
118,경기도,군포시,2021,04,월세,140,6017,2021-04-01,apt
119,경기도,군포시,2021,04,전세,393,27987,2021-04-01,apt
120,경기도,군포시,2021,05,월세,115,7026,2021-05-01,apt
121,경기도,군포시,2021,05,전세,423,27717,2021-05-01,apt
122,경기도,군포시,2021,06,월세,123,6176,2021-06-01,apt
123,경기도,군포시,2021,06,전세,408,27872,2021-06-01,apt
124,경기도,군포시,2021,07,월세,138,7621,2021-07-01,apt
125,경기도,군포시,2021,07,전세,513,27686,2021-07-01,apt
126,경기도,김포시,2021,01,월세,347,5155,2021-01-01,apt
127,경기도,김포시,2021,01,전세,444,30299,2021-01-01,apt
128,경기도,김포시,2021,02,월세,306,5992,2021-02-01,apt
129,경기도,김포시,2021,02,전세,440,29930,2021-02-01,apt
130,경기도,김포시,2021,03,월세,315,7239,2021-03-01,apt
131,경기도,김포시,2021,03,전세,538,30680,2021-03-01,apt
132,경기도,김포시,2021,04,월세,262,7771,2021-04-01,apt
133,경기도,김포시,2021,04,전세,483,29765,2021-04-01,apt
