거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"30,800", ,2003,2021,광화문 플래티넘, 적선동,종로구,10,5,43.92, ,156,11110,6
"35,500", ,2008,2021,광화문 스페이스본, 사직동,종로구,10,9,39.54, ,9,11110,5
"30,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,10,5,37.5, ,72,11110,9
"53,000", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,10,13,51.02, ,71,11110,2
"30,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,10,15,37.5, ,72,11110,2
"30,500", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,10,30,37.5, ,72,11110,12
"43,500", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,10,8,41.71, ,163,11110,22
"124,000", ,2020,2021,디팰리스, 신문로2가,종로구,10,1,70.7, ,171,11110,3
"110,000", ,2020,2021,디팰리스, 신문로2가,종로구,10,14,51.72, ,171,11110,6
"61,500", ,2004,2021,두산위브파빌리온, 수송동,종로구,10,8,78.61, ,58,11110,6
"127,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,10,15,152.95, ,24,11110,13
"60,900", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,10,18,81.01, ,24,11110,18
"51,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,10,20,57.5, ,24,11110,12
"39,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,10,29,45.41, ,24,11110,16
"32,800", ,2004,2021,견지동빌딩, 견지동,종로구,10,5,52.15, ,110-32,11110,12
"21,000", ,2005,2021,종로1번가, 관철동,종로구,10,2,24.64, ,155,11110,14
"55,000", ,2006,2021,효성주얼리시티, 인의동,종로구,10,16,62.99, ,48-2,11110,3
"24,000", ,2021,2021,루비온오피스텔, 인의동,종로구,10,30,18.2, ,28-26,11110,7
"17,500", ,2003,2021,코윈 팔레스뷰 오피스텔, 원남동,종로구,10,6,24.03, ,95,11110,9
"15,000", ,2003,2021,반도 보라 아이비 타워, 효제동,종로구,10,21,27.72, ,45,11110,3
"25,700", ,2021,2021,(255-1), 창신동,종로구,10,1,18.98, ,255-1,11110,10
"26,500", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,10,2,39.6, ,76,11110,4
"28,000", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,10,3,39.6, ,76,11110,21
"10,000", ,2005,2021,엘리시앙오피스텔, 숭인동,종로구,10,20,20.64, ,200-33,11110,11
"26,750", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,10,27,39.6, ,76,11110,10
"33,000", ,2017,2021,경희궁자이, 교북동,종로구,10,2,25.91, ,126,11110,2
"23,100", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,17.59, ,48-2,11140,9
"24,700", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,17.59, ,48-2,11140,13
"23,600", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,18.6, ,48-2,11140,3
"23,900", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,18.6, ,48-2,11140,5
"24,600", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,18.6, ,48-2,11140,7
"24,800", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,18.6, ,48-2,11140,8
"25,100", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,18.6, ,48-2,11140,9
"25,100", ,2007,2021,명동 엠퍼스트플레이스, 충무로2가,중구,10,21,18.6, ,48-2,11140,9
