거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"31,500",중개거래,2004,2021,경희궁의 아침 3단지, 내수동,종로구,12,13,37.5,"서울 용산구, 서울 종로구",72,11110,6
"53,500",중개거래,2004,2021,경희궁의 아침 2단지, 내수동,종로구,12,14,51.02,서울 종로구,71,11110,5
"29,200",중개거래,2004,2021,광화문시대, 내수동,종로구,12,27,34.9,서울 종로구,74,11110,13
"43,300",중개거래,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,12,22,43.64,서울 종로구,163,11110,23
"124,000",중개거래,2020,2021,디팰리스, 신문로2가,종로구,12,1,53.75,"서울 강남구, 서울 종로구",171,11110,5
"30,500",중개거래,2004,2021,두산위브파빌리온, 수송동,종로구,12,1,37.42,서울 종로구,58,11110,4
"27,500",중개거래,2004,2021,두산위브파빌리온, 수송동,종로구,12,15,35.22,서울 종로구,58,11110,5
"41,800",중개거래,2007,2021,르메이에르종로타운1, 종로1가,종로구,12,20,56.64,서울 종로구,24,11110,15
"26,000",중개거래,2007,2021,르메이에르종로타운1, 종로1가,종로구,12,29,34.59,서울 종로구,24,11110,13
"22,000",중개거래,1998,2021,오피스텔월드, 운니동,종로구,12,21,36.72,서울 종로구,65-1,11110,7
"12,500",직거래,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,12,23,23.14, ,34,11110,4
"10,000",직거래,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,12,29,23.27, ,34,11110,6
"15,500",직거래,1991,2021,낙원오피스텔, 돈의동,종로구,12,7,28.06, ,39-2,11110,7
"20,085",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,6
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,14
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,13
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,12
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,11
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,10
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,9
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,8
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,8
"22,454",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,7
"21,630",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,7
"21,321",직거래,2021,2021,루비온오피스텔, 인의동,종로구,12,2,18.2, ,28-26,11110,7
