거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"27,800", ,2003,2021,광화문 플래티넘, 적선동,종로구,3,2,45.36, ,156,11110,15
"13,500", ,1998,2021,파크뷰타워, 필운동,종로구,3,26,23.24, ,285-5,11110,10
"37,700", ,2008,2021,광화문 스페이스본, 사직동,종로구,3,1,39.54, ,9,11110,9
"37,000", ,2008,2021,광화문 스페이스본, 사직동,종로구,3,11,39.54, ,9,11110,6
"29,500", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,3,6,37.5, ,72,11110,11
"24,500", ,2004,2021,경희궁의 아침 4단지, 내수동,종로구,3,10,28.24, ,73,11110,9
"55,000", ,1994,2021,도렴구역 제18지구, 내수동,종로구,3,11,78.95, ,167,11110,7
"25,000", ,2004,2021,용비어천가, 내수동,종로구,3,13,30.42, ,75,11110,11
"25,000", ,2004,2021,용비어천가, 내수동,종로구,3,13,30.42, ,75,11110,11
"37,000", ,2004,2021,경희궁의 아침 4단지, 내수동,종로구,3,18,41.74, ,73,11110,11
"31,000", ,2004,2021,용비어천가, 내수동,종로구,3,19,32.51, ,75,11110,18
"24,000", ,2004,2021,용비어천가, 내수동,종로구,3,19,37.56, ,75,11110,9
"31,000", ,2004,2021,용비어천가, 내수동,종로구,3,20,37.56, ,75,11110,9
"28,400", ,2004,2021,용비어천가, 내수동,종로구,3,24,42.39, ,75,11110,10
"29,200", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,3,31,37.5, ,72,11110,13
"41,000", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,3,9,41.71, ,163,11110,18
"41,800", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,3,16,41.71, ,163,11110,17
"30,300", ,2004,2021,두산위브파빌리온, 수송동,종로구,3,31,37.42, ,58,11110,3
"70,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,3,19,96.92, ,24,11110,16
"48,300", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,3,25,57.5, ,24,11110,9
"29,190", ,2008,2021,종로1가 대성스카이렉스, 견지동,종로구,3,9,40.45, ,110,11110,4
"23,000", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,3,9,23.66, ,89-4,11110,7
"22,700", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,3,11,23.87, ,89-4,11110,11
"23,500", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,3,27,23.66, ,89-4,11110,12
"19,300", ,2005,2021,종로1번가, 관철동,종로구,3,10,23.62, ,155,11110,5
"16,500", ,1994,2021,종로오피스텔, 낙원동,종로구,3,15,29.7, ,58-1,11110,10
"17,000", ,1991,2021,낙원오피스텔, 돈의동,종로구,3,24,33, ,39-2,11110,3
"17,400", ,2003,2021,반도 보라 아이비 타워, 효제동,종로구,3,23,30.7, ,45,11110,2
"25,000", ,2003,2021,반도 보라 아이비 타워, 효제동,종로구,3,24,42.12, ,45,11110,2
"16,000", ,2001,2021,대보마로니에텔, 연건동,종로구,3,24,26.52, ,206,11110,2
"15,750", ,2011,2021,CS타워, 충신동,종로구,3,7,43.16, ,62-2,11110,3
"24,500", ,1996,2021,금호팔레스, 창신동,종로구,3,2,59.26, ,327-2,11110,15
"11,700", ,2013,2021,종로유케이201, 숭인동,종로구,3,4,15.24, ,201-11,11110,3
"19,000", ,2004,2021,종로대우디오빌, 숭인동,종로구,3,5,36.87, ,310,11110,7
"12,000", ,2013,2021,버넷하임1, 숭인동,종로구,3,11,25.88, ,1421,11110,10
"12,000", ,2012,2021,삼전솔하임2차, 숭인동,종로구,3,19,21.12, ,296-19,11110,2
"13,000", ,2002,2021,수석컴비즈텔, 숭인동,종로구,3,21,41.16, ,55-6,11110,7
"14,000", ,2005,2021,동양파라빌, 숭인동,종로구,3,22,27.09, ,1388,11110,9
"12,700", ,2005,2021,동양파라빌, 숭인동,종로구,3,30,24.93, ,1388,11110,8
"10,000", ,2014,2021,삼전솔하임4차, 숭인동,종로구,3,30,19.17, ,318-2,11110,2
"36,500", ,2017,2021,경희궁자이, 교북동,종로구,3,20,27.62, ,126,11110,2
"30,300", ,2016,2021,충무로엘크루메트로시티2, 충무로5가,중구,3,25,37.07, ,36-2,11140,4
"8,000", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,3,2,21.96, ,89-1,11140,10
"9,500", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,3,10,29.88, ,89-1,11140,3
"14,000", ,2004,2021,타임캐슬 오피스텔, 을지로6가,중구,3,31,23.27, ,23,11140,6
"14,200", ,1995,2021,드림오피스타운, 을지로3가,중구,3,25,29.23, ,259-1,11140,14
