거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"27,000", ,2003,2021,광화문 플래티넘, 적선동,종로구,6,14,45.36, ,156,11110,11
"37,000", ,2008,2021,광화문 스페이스본, 사직동,종로구,6,2,39.54, ,9,11110,9
"28,800", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,6,8,32.43, ,71,11110,11
"45,000", ,2004,2021,광화문시대, 내수동,종로구,6,25,56.56, ,74,11110,12
"144,900", ,2020,2021,디팰리스, 신문로2가,종로구,6,22,82.09, ,171,11110,4
"30,900", ,2004,2021,두산위브파빌리온, 수송동,종로구,6,5,37.42, ,58,11110,5
"110,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,6,2,152.95, ,24,11110,14
"41,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,6,15,56.64, ,24,11110,12
"39,300", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,6,23,45.41, ,24,11110,19
"10,950", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,6,28,17.2, ,34,11110,8
"17,800", ,2004,2021,나스빌, 낙원동,종로구,6,10,28.69, ,212,11110,3
"15,000", ,1991,2021,낙원오피스텔, 돈의동,종로구,6,3,28.06, ,39-2,11110,10
"14,000", ,2005,2021,동양파라빌, 숭인동,종로구,6,1,27.09, ,1388,11110,12
"12,600", ,2013,2021,종로 아인스빌, 숭인동,종로구,6,2,17.88, ,1392-1,11110,2
"27,000", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,6,8,39.6, ,76,11110,18
"10,500", ,2013,2021,종로 동광모닝스카이, 숭인동,종로구,6,8,19.95, ,1421-1,11110,6
"25,000", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,6,10,39.6, ,76,11110,7
"11,800", ,2005,2021,동양파라빌, 숭인동,종로구,6,13,24.93, ,1388,11110,2
"19,500", ,2002,2021,캐피탈오피스텔, 부암동,종로구,6,8,37.64, ,154-2,11110,5
