거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"35,500",중개거래,2008,2021,광화문 스페이스본, 사직동,종로구,11,5,39.54,서울 종로구,9,11110,5
"37,300",중개거래,2008,2021,광화문 스페이스본, 사직동,종로구,11,11,39.54,서울 종로구,9,11110,8
"32,000",중개거래,2004,2021,경희궁의 아침 3단지, 내수동,종로구,11,3,37.5,서울 종로구,72,11110,14
"48,000",중개거래,2004,2021,광화문시대, 내수동,종로구,11,12,56.56,서울 종로구,74,11110,11
"61,000",중개거래,2004,2021,경희궁의 아침 2단지, 내수동,종로구,11,30,57.8,서울 종로구,71,11110,10
"38,500",중개거래,2004,2021,두산위브파빌리온, 수송동,종로구,11,2,53.74,서울 종로구,58,11110,6
"59,500",중개거래,2004,2021,두산위브파빌리온, 수송동,종로구,11,19,74.84,서울 종로구,58,11110,10
"43,000",중개거래,2007,2021,르메이에르종로타운1, 종로1가,종로구,11,4,56.64,서울 종로구,24,11110,20
"37,300",중개거래,2007,2021,르메이에르종로타운1, 종로1가,종로구,11,5,44.62,서울 종로구,24,11110,10
"26,000",중개거래,2007,2021,르메이에르종로타운1, 종로1가,종로구,11,13,34.59,서울 종로구,24,11110,19
"31,500",중개거래,2005,2021,운현궁 에스케이 허브, 경운동,종로구,11,13,43.94,서울 종로구,89-4,11110,5
"27,000",중개거래,2005,2021,운현궁 에스케이 허브, 경운동,종로구,11,20,39.2,서울 종로구,89-4,11110,7
"33,000",중개거래,2005,2021,운현궁 에스케이 허브, 경운동,종로구,11,25,42.69,서울 종로구,89-4,11110,9
"24,000",중개거래,2020,2021,종로 하이뷰 디아트, 관수동,종로구,11,21,18.16,서울 종로구,98-1,11110,8
"65,000",중개거래,2006,2021,효성주얼리시티, 인의동,종로구,11,4,69.45,서울 종로구,48-2,11110,3
"27,000",중개거래,2003,2021,반도 보라 아이비 타워, 효제동,종로구,11,30,42.12,서울 종로구,45,11110,2
"26,600",직거래,2021,2021,(255-1), 창신동,종로구,11,16,19.14, ,255-1,11110,11
"23,300",직거래,2021,2021,(255-1), 창신동,종로구,11,27,15.59, ,255-1,11110,10
"7,000",중개거래,2014,2021,디세븐, 숭인동,종로구,11,2,13.44,서울 종로구,313-12,11110,9
"26,500",중개거래,2004,2021,롯데캐슬 천지인, 숭인동,종로구,11,8,39.6,서울 종로구,76,11110,7
"12,000",중개거래,2014,2021,삼전솔하임4차, 숭인동,종로구,11,13,19.17,서울 중구,318-2,11110,7
"13,300",중개거래,2013,2021,버넷하임1, 숭인동,종로구,11,19,25.88,서울 종로구,1421,11110,8
"18,940",중개거래,2004,2021,종로대우디오빌, 숭인동,종로구,11,20,28.89,서울 종로구,310,11110,15
"35,000",중개거래,2017,2021,경희궁자이, 교북동,종로구,11,14,25.91,서울 종로구,126,11110,4
"41,000",중개거래,2008,2021,명동아르누보센텀, 을지로2가,중구,11,27,41.25,서울 중구,199-40,11140,9
"19,600",중개거래,2016,2021,충무로엘크루메트로시티2, 충무로5가,중구,11,23,23.03,서울 중구,36-2,11140,20
"32,700",중개거래,2016,2021,충무로엘크루메트로시티2, 충무로5가,중구,11,27,37.07,서울 중구,36-2,11140,6
"9,600",중개거래,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,11,10,26.22,서울 중구,89-1,11140,3
"9,300",중개거래,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,11,22,21.96,서울 마포구,89-1,11140,9
"25,000",중개거래,2020,2021,남산 오렌지카운티, 쌍림동,중구,11,12,18.49,서울 중구,106-14,11140,11
"12,700",중개거래,1995,2021,드림오피스타운, 을지로3가,중구,11,27,25.42,서울 중구,259-1,11140,8
"22,500",중개거래,2013,2021,엘크루 메트로시티, 충무로3가,중구,11,2,26.78,서울 중구,49,11140,16
"27,200",중개거래,2013,2021,엘크루 메트로시티, 충무로3가,중구,11,15,29.46,서울 중구,49,11140,16
"16,100",중개거래,2014,2021,신당아르브, 신당동,중구,11,24,21.31,서울 중구,160-5,11140,14
"61,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,2,52.11,서울 중구,13-1,11140,24
"84,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,2,77.53,서울 중구,13-1,11140,24
"42,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,2,46.74,서울 중구,13-1,11140,6
"84,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,4,77.53,서울 중구,13-1,11140,24
"42,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,9,46.74,서울 중구,13-1,11140,10
"43,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,13,46.74,서울 중구,13-1,11140,24
"14,000",중개거래,2013,2021,	(91)	, 흥인동,중구,11,16,22.89,서울 중구,91,11140,6
"31,000",중개거래,2014,2021,청계천 두산위브더제니스, 흥인동,중구,11,18,33.48,서울 중구,13-1,11140,29
