거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"29,000", ,2003,2021,광화문 플래티넘, 적선동,종로구,8,3,45.36, ,156,11110,12
"30,500", ,2003,2021,광화문 플래티넘, 적선동,종로구,8,27,45.36, ,156,11110,8
"36,000", ,2008,2021,광화문 스페이스본, 사직동,종로구,8,21,39.54, ,9,11110,9
"27,000", ,2004,2021,용비어천가, 내수동,종로구,8,5,41.34, ,75,11110,2
"30,700", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,8,7,37.5, ,72,11110,6
"29,500", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,8,13,37.5, ,72,11110,13
"28,500", ,2004,2021,광화문시대, 내수동,종로구,8,17,34.9, ,74,11110,5
"34,500", ,2004,2021,용비어천가, 내수동,종로구,8,20,42.46, ,75,11110,18
"64,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,8,24,71.01, ,72,11110,4
"26,000", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,8,28,28.9, ,71,11110,14
"43,800", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,8,31,41.71, ,163,11110,18
"180,000", ,2020,2021,디팰리스, 신문로2가,종로구,8,21,82.09, ,171,11110,6
"55,000", ,2004,2021,두산위브파빌리온, 수송동,종로구,8,3,70.44, ,58,11110,3
"61,800", ,2004,2021,두산위브파빌리온, 수송동,종로구,8,3,78.61, ,58,11110,13
"70,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,8,7,96.92, ,24,11110,6
"75,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,8,16,96.92, ,24,11110,17
"71,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,8,18,96.92, ,24,11110,6
"30,800", ,2008,2021,종로1가 대성스카이렉스, 견지동,종로구,8,30,40.45, ,110,11110,8
"27,000", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,8,17,34.15, ,89-4,11110,11
"18,800", ,2005,2021,종로1번가, 관철동,종로구,8,26,24.64, ,155,11110,9
"12,500", ,1991,2021,낙원오피스텔, 돈의동,종로구,8,23,24.73, ,39-2,11110,5
"24,800", ,2006,2021,효성주얼리시티, 인의동,종로구,8,14,32, ,48-2,11110,5
"40,000", ,2006,2021,효성주얼리시티, 인의동,종로구,8,26,60.37, ,48-2,11110,5
"20,000", ,2003,2021,반도 보라 아이비 타워, 효제동,종로구,8,7,30.94, ,45,11110,11
"20,000", ,2020,2021,센트럴시티대학로, 효제동,종로구,8,12,17.28, ,167,11110,4
"18,000", ,2003,2021,반도 보라 아이비 타워, 효제동,종로구,8,13,30.7, ,45,11110,3
"24,000", ,2020,2021,센트럴시티대학로, 효제동,종로구,8,18,17.28, ,167,11110,6
"17,900", ,2004,2021,종로대우디오빌, 숭인동,종로구,8,5,29.65, ,310,11110,14
"13,400", ,2005,2021,동양파라빌, 숭인동,종로구,8,11,24.93, ,1388,11110,11
"12,600", ,2013,2021,버넷하임1, 숭인동,종로구,8,13,25.27, ,1421,11110,6
"13,600", ,2020,2021,헤스티아, 숭인동,종로구,8,18,14.9, ,317-48,11110,4
"14,500", ,2005,2021,동양파라빌, 숭인동,종로구,8,25,27.09, ,1388,11110,12
"10,500", ,2013,2021,종로 동광모닝스카이, 숭인동,종로구,8,26,19.95, ,1421-1,11110,6
"9,850", ,2013,2021,종로유케이201, 숭인동,종로구,8,26,15.49, ,201-11,11110,3
"10,000", ,2014,2021,디세븐, 숭인동,종로구,8,28,16.04, ,313-12,11110,15
"28,000", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,8,31,39.6, ,76,11110,27
"34,500", ,2017,2021,경희궁자이, 교북동,종로구,8,30,25.91, ,126,11110,2
"41,000", ,2008,2021,명동아르누보센텀, 을지로2가,중구,8,9,49.7, ,199-40,11140,9
"35,500", ,2016,2021,충무로엘크루메트로시티2, 충무로5가,중구,8,6,41.41, ,36-2,11140,16
"22,500", ,2021,2021,충무로역 스위트엠, 묵정동,중구,8,18,18.57, ,32-5,11140,6
"22,800", ,2003,2021,스타빌딩, 필동1가,중구,8,20,26.44, ,22-2,11140,7
