거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"35,400", ,2008,2021,광화문 스페이스본, 사직동,종로구,9,2,39.54, ,9,11110,2
"38,000", ,2008,2021,광화문 스페이스본, 사직동,종로구,9,13,39.54, ,9,11110,4
"33,000", ,2004,2021,용비어천가, 내수동,종로구,9,4,37.67, ,75,11110,16
"63,000", ,2004,2021,경희궁의 아침 4단지, 내수동,종로구,9,15,56.48, ,73,11110,10
"30,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,9,27,37.5, ,72,11110,7
"56,000", ,2004,2021,경희궁의 아침 4단지, 내수동,종로구,9,28,56.48, ,73,11110,2
"25,000", ,2004,2021,용비어천가, 내수동,종로구,9,28,30.42, ,75,11110,5
"29,900", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,9,30,37.5, ,72,11110,2
"47,750", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,9,1,41.71, ,163,11110,17
"47,750", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,9,1,41.71, ,163,11110,17
"43,000", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,9,16,43.64, ,163,11110,17
"57,500", ,2004,2021,두산위브파빌리온, 수송동,종로구,9,15,72.21, ,58,11110,3
"13,500", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,9,2,23.14, ,34,11110,5
"12,000", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,9,3,17.42, ,34,11110,11
"26,500", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,9,28,30.28, ,89-4,11110,8
"22,500", ,1991,2021,낙원오피스텔, 돈의동,종로구,9,18,40.96, ,39-2,11110,5
"46,397", ,2021,2021,이지마루종로, 효제동,종로구,9,17,34.49, ,126-2,11110,5
"22,200", ,2017,2021,포레스트힐시티, 효제동,종로구,9,18,28.86, ,65-2,11110,6
"10,000", ,2014,2021,삼전솔하임4차, 숭인동,종로구,9,2,19.17, ,318-2,11110,2
"11,000", ,2014,2021,삼전솔하임4차, 숭인동,종로구,9,3,19.17, ,318-2,11110,9
"12,500", ,2005,2021,동양파라빌, 숭인동,종로구,9,7,24.93, ,1388,11110,12
"13,500", ,2005,2021,동양파라빌, 숭인동,종로구,9,13,27.09, ,1388,11110,5
"26,000", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,9,14,39.6, ,76,11110,9
"11,000", ,2005,2021,엘리시앙오피스텔, 숭인동,종로구,9,18,28.38, ,200-33,11110,7
"35,000", ,2017,2021,경희궁자이, 교북동,종로구,9,17,25.91, ,126,11110,4
"14,500", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,9,2,40.28, ,89-1,11140,4
"14,500", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,9,2,40.28, ,89-1,11140,4
"7,500", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,9,4,19.8, ,89-1,11140,10
"9,700", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,9,24,26.22, ,89-1,11140,2
"14,900", ,2004,2021,타임캐슬 오피스텔, 을지로6가,중구,9,15,23.27, ,23,11140,12
"11,000", ,2003,2021,정건벨라지오오피스텔, 을지로5가,중구,9,24,21.94, ,20-1,11140,6
"13,800", ,2004,2021,삼성골드캐슬, 을지로5가,중구,9,28,20.18, ,273-2,11140,9
"22,500", ,2013,2021,엘크루 메트로시티, 충무로3가,중구,9,3,26.78, ,49,11140,12
"25,000", ,2018,2021,제이매크로 타워, 저동2가,중구,9,1,24.85, ,7-2,11140,9
"29,692", ,2020,2021,(251-10), 신당동,중구,9,1,22.29, ,251-10,11140,8
"16,700", ,2014,2021,신당아르브, 신당동,중구,9,6,21.31, ,160-5,11140,15
"16,500", ,2014,2021,신당아르브, 신당동,중구,9,11,21.31, ,160-5,11140,9
"24,700", ,2016,2021,신당역솔하임, 신당동,중구,9,11,26.72, ,140-23,11140,13
"30,692", ,2020,2021,(251-10), 신당동,중구,9,24,22.29, ,251-10,11140,8
"21,000", ,2016,2021,동대문솔하임, 흥인동,중구,9,12,24.29, ,8,11140,3
"58,000", ,2014,2021,청계천 두산위브더제니스, 흥인동,중구,9,14,59.91, ,13-1,11140,3
"15,500", ,2013,2021,	(91)	, 흥인동,중구,9,14,21.88, ,91,11140,9
"40,000", ,2014,2021,청계천 두산위브더제니스, 흥인동,중구,9,24,46.74, ,13-1,11140,13
"12,500", ,2004,2021,신당역올리브2, 황학동,중구,9,2,23.82, ,2484,11140,7
"28,000", ,없음,2021,주건축물제1동, 황학동,중구,9,7,41.41, ,19,11140,6
"25,212", ,2021,2021,한양립스 이노와이즈, 황학동,중구,9,23,21.72, ,1257,11140,6
"23,000", ,2015,2021,골드캐슬Ⅰ, 황학동,중구,9,24,40.87, ,1725,11140,4
"12,300", ,2013,2021,한양 I-Class, 황학동,중구,9,30,19.05, ,787,11140,7
"37,000", ,2016,2021,덕수궁롯데캐슬, 순화동,중구,9,24,36.15, ,217,11140,12
"14,000", ,1990,2021,	(339-4)	, 후암동,용산구,9,30,34.38, ,339-4,11170,3
"27,040", ,2015,2021,트윈시티 남산, 동자동,용산구,9,1,21.71, ,56,11170,9
"35,600", ,2015,2021,트윈시티 남산, 동자동,용산구,9,1,28.33, ,56,11170,23
"28,370", ,2015,2021,트윈시티 남산, 동자동,용산구,9,2,21.71, ,56,11170,25
"35,230", ,2015,2021,트윈시티 남산, 동자동,용산구,9,2,28.33, ,56,11170,15
"28,960", ,2015,2021,트윈시티 남산, 동자동,용산구,9,2,25.48, ,56,11170,8
"25,650", ,2015,2021,트윈시티 남산, 동자동,용산구,9,3,21.52, ,56,11170,24
"29,490", ,2015,2021,트윈시티 남산, 동자동,용산구,9,3,25.48, ,56,11170,14
"35,250", ,2015,2021,트윈시티 남산, 동자동,용산구,9,3,28.33, ,56,11170,18
"34,380", ,2015,2021,트윈시티 남산, 동자동,용산구,9,3,28.33, ,56,11170,9
"35,600", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,28.33, ,56,11170,22
"36,500", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,28.33, ,56,11170,26
"37,240", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.61, ,56,11170,3
"40,420", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.61, ,56,11170,17
"40,900", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.61, ,56,11170,21
"41,620", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.61, ,56,11170,27
"40,530", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.95, ,56,11170,10
"41,020", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.95, ,56,11170,14
"41,020", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.95, ,56,11170,15
"41,780", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.95, ,56,11170,20
"42,010", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.95, ,56,11170,22
"42,270", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,29.95, ,56,11170,24
"27,750", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,10
"27,480", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.51, ,56,11170,10
"28,490", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.51, ,56,11170,22
"24,360", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.52, ,56,11170,10
"24,800", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.52, ,56,11170,16
"26,910", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,2
"27,040", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,9
"27,420", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,7
"27,750", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,10
"27,750", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,10
"27,920", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,13
"28,090", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,14
"28,090", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,15
"28,090", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,15
"28,250", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,16
"28,250", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,17
"28,600", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,20
"28,600", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,21.71, ,56,11170,20
"31,680", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.37, ,56,11170,13
"32,440", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.37, ,56,11170,20
"29,700", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.43, ,56,11170,10
"31,150", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.43, ,56,11170,26
"28,370", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.48, ,56,11170,6
"28,670", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.48, ,56,11170,9
"29,240", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.48, ,56,11170,18
"29,240", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,25.48, ,56,11170,19
"33,140", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,8
"33,140", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,9
"33,330", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,10
"33,330", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,10
"33,330", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,10
"33,740", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,14
"33,740", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,14
"33,950", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,17
"33,950", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,17
"34,150", ,2015,2021,트윈시티 남산, 동자동,용산구,9,4,27.42, ,56,11170,18
