거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"45,000", ,1994,2021,도렴구역 제18지구, 내수동,종로구,1,5,67.36, ,167,11110,8
"27,900", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,1,6,32.43, ,71,11110,4
"26,500", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,1,9,32.43, ,71,11110,5
"31,500", ,2004,2021,용비어천가, 내수동,종로구,1,22,33, ,75,11110,17
"29,150", ,2004,2021,광화문시대, 내수동,종로구,1,23,34.9, ,74,11110,7
"24,500", ,2004,2021,경희궁의 아침 4단지, 내수동,종로구,1,27,28.24, ,73,11110,12
"54,000", ,2004,2021,두산위브파빌리온, 수송동,종로구,1,22,72.21, ,58,11110,4
"41,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,1,18,56.64, ,24,11110,15
"47,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,1,18,57.5, ,24,11110,6
"11,900", ,1998,2021,오피스텔월드, 운니동,종로구,1,14,30.24, ,65-1,11110,9
"11,000", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,1,13,23.14, ,34,11110,5
"12,000", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,1,18,17.42, ,34,11110,6
"33,000", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,1,6,45.73, ,89-4,11110,5
"28,300", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,1,30,35.36, ,89-4,11110,6
"20,000", ,2005,2021,종로1번가, 관철동,종로구,1,13,24.64, ,155,11110,9
"22,250", ,1991,2021,낙원오피스텔, 돈의동,종로구,1,31,40.96, ,39-2,11110,9
"57,500", ,2006,2021,효성주얼리시티, 인의동,종로구,1,23,73.79, ,48-2,11110,4
"24,100", ,2020,2021,(317-29), 숭인동,종로구,1,6,22.38, ,317-29,11110,10
"27,597", ,2020,2021,(317-29), 숭인동,종로구,1,6,24.41, ,317-29,11110,2
"24,100", ,2020,2021,(317-29), 숭인동,종로구,1,6,22.38, ,317-29,11110,9
"20,500", ,2020,2021,(317-29), 숭인동,종로구,1,6,18.74, ,317-29,11110,10
"10,900", ,2013,2021,종로 동광모닝스카이, 숭인동,종로구,1,6,19.95, ,1421-1,11110,6
"20,400", ,2020,2021,(317-29), 숭인동,종로구,1,6,18.74, ,317-29,11110,5
"19,900", ,2020,2021,(317-29), 숭인동,종로구,1,6,18.74, ,317-29,11110,2
"20,000", ,2020,2021,(317-29), 숭인동,종로구,1,6,18.74, ,317-29,11110,3
"20,200", ,2020,2021,(317-29), 숭인동,종로구,1,6,18.74, ,317-29,11110,4
"23,350", ,2020,2021,(317-29), 숭인동,종로구,1,6,22.38, ,317-29,11110,2
"23,500", ,2020,2021,(317-29), 숭인동,종로구,1,6,22.38, ,317-29,11110,3
