갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998, , ,2021,파크뷰타워,필운동,500,종로구,1,50,23,21.85, , ,285-5,11110,10
 ,2008, , ,2021,광화문 스페이스본,사직동,"28,300",종로구,1,0,7,39.54, , ,9,11110,6
 ,2008, , ,2021,광화문 스페이스본,사직동,"32,000",종로구,1,0,23,39.54, , ,9,11110,9
 ,2004, , ,2021,용비어천가,내수동,"26,000",종로구,1,0,4,41.34, , ,75,11110,5
 ,2004, , ,2021,광화문시대,내수동,"20,000",종로구,1,20,12,33.3, , ,74,11110,4
 ,2004, , ,2021,용비어천가,내수동,"20,000",종로구,1,0,15,30.36, , ,75,11110,13
 ,2004, , ,2021,광화문시대,내수동,"22,500",종로구,1,0,16,32.01, , ,74,11110,2
 ,2004, , ,2021,용비어천가,내수동,"1,000",종로구,1,75,16,30.36, , ,75,11110,5
 ,2004, , ,2021,광화문시대,내수동,"1,000",종로구,1,75,20,33.3, , ,74,11110,10
 ,2004, , ,2021,광화문시대,내수동,"27,500",종로구,1,0,20,38.88, , ,74,11110,3
 ,2004, , ,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,1,75,22,28.9, , ,71,11110,7
 ,2004, , ,2021,용비어천가,내수동,"22,000",종로구,1,0,23,30.42, , ,75,11110,5
 ,2004, , ,2021,용비어천가,내수동,"1,000",종로구,1,90,23,37.12, , ,75,11110,11
 ,2004, , ,2021,용비어천가,내수동,"41,000",종로구,1,0,26,58.92, , ,75,11110,14
 ,2004, , ,2021,용비어천가,내수동,"15,000",종로구,1,60,30,37.56, , ,75,11110,15
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"23,000",종로구,1,0,18,41.34, , ,89-4,11110,8
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"15,225",종로구,1,0,23,23.66, , ,89-4,11110,7
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"5,000",종로구,1,50,2,18.16, , ,98-1,11110,5
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"3,000",종로구,1,60,7,18.16, , ,98-1,11110,6
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"15,000",종로구,1,0,16,24.03, , ,95,11110,9
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"3,000",종로구,1,50,27,24.03, , ,95,11110,7
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,1,60,31,21.01, , ,95,11110,9
 ,2019, , ,2021,로얄파크뷰,연지동,"27,800",종로구,1,0,14,37.18, , ,238-5,11110,4
 ,2019, , ,2021,리베르떼_연지,연지동,"22,000",종로구,1,0,21,27.5, , ,222,11110,6
 ,2015, , ,2021,아르젠종로,연지동,"1,000",종로구,1,67,22,18.33, , ,163-3,11110,8
 ,2019, , ,2021,리베르떼_연지,연지동,"18,900",종로구,1,0,29,23.9, , ,222,11110,2
 ,2003, , ,2021,반도 보라 아이비 타워,효제동,"1,000",종로구,1,75,5,30.94, , ,45,11110,11
 ,2020, , ,2021,센트럴시티대학로,효제동,"20,000",종로구,1,0,6,17.28, , ,167,11110,5
 ,2020, , ,2021,센트럴시티대학로,효제동,"20,000",종로구,1,0,6,17.28, , ,167,11110,7
 ,2020, , ,2021,센트럴시티대학로,효제동,"2,000",종로구,1,60,9,17.28, , ,167,11110,9
 ,2003, , ,2021,반도 보라 아이비 타워,효제동,"14,280",종로구,1,0,9,27.58, , ,45,11110,10
 ,2020, , ,2021,센트럴시티대학로,효제동,"21,000",종로구,1,0,12,17.28, , ,167,11110,10
 ,2020, , ,2021,센트럴시티대학로,효제동,"21,000",종로구,1,0,15,17.28, , ,167,11110,7
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,2,21.36, , ,1396,11110,12
 ,2019, , ,2021,케이디오피스텔,숭인동,"16,300",종로구,1,0,4,18.56, , ,217-26,11110,5
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,1,60,4,27.09, , ,1388,11110,11
 ,2020, , ,2021,헤스티아,숭인동,"13,500",종로구,1,0,4,14.9, , ,317-48,11110,6
 ,2005, , ,2021,엘리시앙오피스텔,숭인동,"2,000",종로구,1,45,5,34.38, , ,200-33,11110,4
 ,2004, , ,2021,종로대우디오빌,숭인동,"3,000",종로구,1,55,5,29.65, , ,310,11110,6
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,1,50,5,24.93, , ,1388,11110,8
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,1,0,5,26.97, , ,217-16,11110,5
 ,2014, , ,2021,숭인한양LEEPS,숭인동,"1,000",종로구,1,55,6,17.07, , ,1421-2,11110,15
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,1,0,6,26.97, , ,217-16,11110,5
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,7,21.36, , ,1396,11110,13
 ,2013, , ,2021,종로 동광모닝스카이,숭인동,"12,000",종로구,1,0,9,19.95, , ,1421-1,11110,2
 ,2005, , ,2021,엘리시앙오피스텔,숭인동,"1,000",종로구,1,50,9,28.38, , ,200-33,11110,12
