갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2004, , ,2021,광화문시대,내수동,"24,000",종로구,4,0,1,34.9, , ,74,11110,3
 ,2004, , ,2021,경희궁의 아침 4단지,내수동,"5,000",종로구,4,55,7,28.24, , ,73,11110,7
 ,2004, , ,2021,광화문시대,내수동,"1,000",종로구,4,90,16,34.9, , ,74,11110,5
 ,2004, , ,2021,광화문시대,내수동,"1,000",종로구,4,75,21,30.08, , ,74,11110,16
 ,2004, ,21.06~22.06,2021,광화문시대,내수동,"1,000",종로구,4,150,22,56.56, , ,74,11110,2
 ,2004, , ,2021,용비어천가,내수동,"16,500",종로구,4,30,22,37.56, , ,75,11110,2
 ,2004, ,21.06~22.06,2021,용비어천가,내수동,"1,000",종로구,4,110,24,43.67, , ,75,11110,9
 ,2020, ,21.06~23.06,2021,디팰리스,신문로2가,"105,000",종로구,4,0,7,82.09, , ,171,11110,5
 ,2004, , ,2021,BIZ-WELL 종로 오피스텔,익선동,"1,300",종로구,4,50,19,23.14, , ,34,11110,8
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"19,000",종로구,4,0,10,32.8, , ,95,11110,7
 ,2005, , ,2021,경일오피스텔,숭인동,"2,500",종로구,4,33,1,18.82, , ,1367,11110,4
 ,2004, , ,2021,종로대우디오빌,숭인동,"25,000",종로구,4,0,1,38.08, , ,310,11110,13
 ,2002, , ,2021,수석컴비즈텔,숭인동,"9,000",종로구,4,0,2,26.31, , ,55-6,11110,6
 ,2005, , ,2021,경일오피스텔,숭인동,"3,000",종로구,4,35,3,18.82, , ,1367,11110,6
 ,2005, ,21.04~22.04,2021,경일오피스텔,숭인동,"1,000",종로구,4,45,5,18.82, , ,1367,11110,7
 ,2016, , ,2021,아폴리움 오피스텔,숭인동,"3,000",종로구,4,40,7,15.2, , ,201-7,11110,9
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,4,60,9,21.36, , ,1396,11110,14
 ,2005, , ,2021,경일오피스텔,숭인동,"2,000",종로구,4,38,12,18.82, , ,1367,11110,9
 ,2005, , ,2021,경일오피스텔,숭인동,"3,000",종로구,4,35,12,18.82, , ,1367,11110,9
 ,2005, , ,2021,경일오피스텔,숭인동,"5,000",종로구,4,35,13,25.68, , ,1367,11110,3
 ,2019, , ,2021,케이디오피스텔,숭인동,"16,400",종로구,4,0,13,18.56, , ,217-26,11110,6
 ,2013, , ,2021,버넷하임1,숭인동,"13,500",종로구,4,0,13,24.77, , ,1421,11110,2
 ,2005, , ,2021,엘리시앙오피스텔,숭인동,"16,000",종로구,4,0,15,57.75, , ,200-33,11110,8
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"22,000",종로구,4,0,15,27.03, , ,217-16,11110,2
 ,2002, , ,2021,수석컴비즈텔,숭인동,"10,000",종로구,4,0,15,30.12, , ,55-6,11110,4
 ,2016, ,21.05~22.05,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,4,60,16,21.36, , ,1396,11110,11
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,4,90,16,40.5, , ,1388,11110,14
 ,2020, , ,2021,헤스티아,숭인동,"13,000",종로구,4,0,16,13.12, , ,317-48,11110,13
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,4,60,16,21.36, , ,1396,11110,9
 ,2002, , ,2021,수석컴비즈텔,숭인동,"9,000",종로구,4,5,16,30.12, , ,55-6,11110,5
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,4,60,17,27.09, , ,1388,11110,11
 ,2013, , ,2021,종로 중흥 S클래스,숭인동,"13,000",종로구,4,0,20,23.97, , ,202-3,11110,3
 ,2020, , ,2021,헤스티아,숭인동,"12,500",종로구,4,0,20,13.12, , ,317-48,11110,4
 ,2013, , ,2021,그레이스탑,숭인동,"3,000",종로구,4,40,21,20.16, , ,178-94,11110,3
 ,2013, , ,2021,버넷하임1,숭인동,"13,000",종로구,4,0,23,25.88, , ,1421,11110,10
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"13,125",종로구,4,0,23,21.45, , ,1396,11110,14
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"22,500",종로구,4,0,24,27.18, , ,217-16,11110,6
 ,2005, , ,2021,동양파라빌,숭인동,"12,000",종로구,4,0,24,24.93, , ,1388,11110,5
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,4,55,26,27.09, , ,1388,11110,11
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,4,55,26,27.09, , ,1388,11110,3
 ,2013, , ,2021,그레이스탑,숭인동,"8,000",종로구,4,0,27,23.01, , ,178-94,11110,4
 ,2017, , ,2021,경희궁자이,교북동,"29,400",종로구,4,0,15,25.91, , ,126,11110,2
 ,2017, ,21.06~22.06,2021,경희궁자이,교북동,"1,000",종로구,4,88,24,25.66, , ,126,11110,4
 ,2007, , ,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,4,65,5,18.6, , ,48-2,11140,6
 ,2007, , ,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,4,75,9,18.6, , ,48-2,11140,8
 ,2007, , ,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,4,70,16,17.59, , ,48-2,11140,7
 ,2007, , ,2021,명동 엠퍼스트플레이스,충무로2가,"21,000",중구,4,0,17,17.59, , ,48-2,11140,12
 ,2007, ,21.05~22.05,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,4,80,23,20.28, , ,48-2,11140,9
 ,2007, , ,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,4,80,27,20.28, , ,48-2,11140,9
 ,2016, , ,2021,충무로엘크루메트로시티2,충무로5가,"1,000",중구,4,68,3,23.03, , ,36-2,11140,6
 ,2016, , ,2021,충무로엘크루메트로시티2,충무로5가,"1,000",중구,4,70,20,23.03, , ,36-2,11140,9
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"20,000",중구,4,0,6,18.57, , ,32-5,11140,9
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"19,000",중구,4,0,19,18.57, , ,32-5,11140,8
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"19,000",중구,4,0,27,18.57, , ,32-5,11140,6
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"22,000",중구,4,0,29,18.57, , ,32-5,11140,12
 ,2005, , ,2021,성진오피스텔,광희동2가,"7,000",중구,4,10,22,22.8, , ,194-1,11140,3
 ,2020, , ,2021,남산 오렌지카운티,쌍림동,"1,000",중구,4,77,4,18.49, , ,106-14,11140,10
 ,2019, , ,2021,을지 웰 라이프,을지로4가,"26,200",중구,4,0,17,32.63, , ,187-9,11140,9
 ,2019, , ,2021,을지 웰 라이프,을지로4가,"22,000",중구,4,0,17,26.88, , ,187-9,11140,4
 ,2019, , ,2021,을지 웰 라이프,을지로4가,"28,300",중구,4,0,20,34.59, , ,187-9,11140,8
 ,2019, , ,2021,을지 웰 라이프,을지로4가,"21,000",중구,4,0,26,26.88, , ,187-9,11140,3
 ,2019, , ,2021,을지 웰 라이프,을지로4가,"26,000",중구,4,0,29,32.63, , ,187-9,11140,8
 ,2018, , ,2021,제이매크로 타워,저동2가,"20,000",중구,4,0,5,19.35, , ,7-2,11140,11
 ,2018, , ,2021,제이매크로 타워,저동2가,"7,000",중구,4,46,8,22.6, , ,7-2,11140,11
 ,2018, , ,2021,제이매크로 타워,저동2가,"19,950",중구,4,0,15,22.47, , ,7-2,11140,4
 ,2018, , ,2021,제이매크로 타워,저동2가,"5,000",중구,4,63,19,22.6, , ,7-2,11140,8
 ,2021, , ,2021,(372-49),신당동,"4,000",중구,4,65,1,20.34, , ,372-49,11140,2
 ,2021, , ,2021,자강헌,신당동,"2,000",중구,4,85,3,23.93, , ,367-12,11140,3
 ,2003, , ,2021,	(340-123)	,신당동,"12,000",중구,4,15,6,18.6, , ,340-123,11140,5
 ,2020, , ,2021,(251-10),신당동,100,중구,4,40,8,22.29, , ,251-10,11140,6
 ,2014, , ,2021,신당아르브,신당동,"5,000",중구,4,40,8,21.31, , ,160-5,11140,15
 ,2018, , ,2021,대현프리몰,신당동,"1,000",중구,4,62,9,18.18, , ,421-1,11140,3
 ,2016, ,21.04~22.04,2021,신당역솔하임,신당동,"1,000",중구,4,70,9,18.8, , ,140-23,11140,3
