갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2021,광화문 스페이스본,사직동,"28,300",종로구,3,0,2,39.54, , ,9,11110,12
 ,2008, , ,2021,광화문 스페이스본,사직동,"15,000",종로구,3,50,16,39.54, , ,9,11110,7
 ,2008, , ,2021,광화문 스페이스본,사직동,"34,000",종로구,3,0,19,39.54, , ,9,11110,3
 ,2004, , ,2021,용비어천가,내수동,"26,300",종로구,3,0,3,37.56, , ,75,11110,2
 ,2004, , ,2021,경희궁의 아침 2단지,내수동,"45,000",종로구,3,0,4,57.8, , ,71,11110,7
 ,2004, , ,2021,용비어천가,내수동,"23,000",종로구,3,0,4,34.45, , ,75,11110,9
 ,2004, , ,2021,용비어천가,내수동,"5,000",종로구,3,60,5,34.45, , ,75,11110,12
 ,2004, , ,2021,용비어천가,내수동,"26,000",종로구,3,0,8,34.45, , ,75,11110,15
 ,2004, , ,2021,경희궁의 아침 4단지,내수동,"1,000",종로구,3,75,15,28.24, , ,73,11110,12
 ,2004, , ,2021,용비어천가,내수동,"26,500",종로구,3,0,24,41.38, , ,75,11110,14
 ,2004, , ,2021,광화문시대,내수동,"10,000",종로구,3,50,25,34.9, , ,74,11110,10
 ,2004, , ,2021,경희궁의 아침 3단지,내수동,"1,000",종로구,3,85,26,37.5, , ,72,11110,5
 ,2004, , ,2021,경희궁의 아침 3단지,내수동,"1,000",종로구,3,85,27,37.5, , ,72,11110,11
 ,2004, , ,2021,광화문시대,내수동,"27,000",종로구,3,0,27,40.26, , ,74,11110,16
 ,2004, , ,2021,두산위브파빌리온,수송동,"2,000",종로구,3,130,22,57.65, , ,58,11110,7
 ,2008, , ,2021,종로1가 대성스카이렉스,견지동,"24,500",종로구,3,0,29,40.45, , ,110,11110,11
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"21,500",종로구,3,0,8,34.15, , ,89-4,11110,5
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"5,000",종로구,3,60,16,39.2, , ,89-4,11110,7
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"1,000",종로구,3,80,3,18.16, , ,98-1,11110,11
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"16,000",종로구,3,0,29,21.01, , ,95,11110,4
 ,2019, , ,2021,리베르떼_연지,연지동,"22,500",종로구,3,0,9,27.3, , ,222,11110,8
 ,2003, , ,2021,반도 보라 아이비 타워,효제동,"1,000",종로구,3,62,15,26.58, , ,45,11110,6
 ,2005, , ,2021,동양파라빌,숭인동,"13,000",종로구,3,0,1,27.09, , ,1388,11110,13
 ,2014, , ,2021,삼전솔하임4차,숭인동,"12,500",종로구,3,0,1,19.17, , ,318-2,11110,7
 ,2016, , ,2021,아폴리움 오피스텔,숭인동,"13,000",종로구,3,0,2,15.2, , ,201-7,11110,5
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"13,500",종로구,3,0,2,21.45, , ,1396,11110,17
