갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998,신규,21.08~22.08,2021,파크뷰타워,필운동,"1,000",종로구,7,50,30,21.85, , ,285-5,11110,4
 ,2004,신규,21.07~22.07,2021,광화문시대,내수동,"1,000",종로구,7,85,1,34.9, , ,74,11110,10
 ,2004,신규,21.07~22.07,2021,용비어천가,내수동,"1,000",종로구,7,80,3,33, , ,75,11110,2
 ,2004,신규,21.09~23.09,2021,경희궁의 아침 2단지,내수동,"20,000",종로구,7,20,5,32.43, , ,71,11110,16
 ,2004,갱신,21.08~23.08,2021,광화문시대,내수동,"6,000",종로구,7,67,5,34.9,"5,000",65,74,11110,3
 ,2004,신규,21.08~22.08,2021,광화문시대,내수동,"10,000",종로구,7,60,5,40.26, , ,74,11110,5
 ,2004,신규,21.07~22.07,2021,광화문시대,내수동,"1,000",종로구,7,85,8,34.9, , ,74,11110,11
 ,2004,신규,21.07~22.07,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,7,80,8,28.9, , ,71,11110,6
 ,2004,신규,21.08~23.08,2021,용비어천가,내수동,"25,000",종로구,7,0,8,37.56, , ,75,11110,12
 ,2004,신규,21.08~22.08,2021,광화문시대,내수동,"12,000",종로구,7,30,10,30.08, , ,74,11110,18
 ,2004,신규,21.07~22.07,2021,용비어천가,내수동,"1,000",종로구,7,85,10,37.56, , ,75,11110,10
 ,2004, ,21.08~23.02,2021,경희궁의 아침 2단지,내수동,"20,000",종로구,7,70,10,57.8, , ,71,11110,10
 ,2004, , ,2021,용비어천가,내수동,"25,500",종로구,7,0,10,30.36, , ,75,11110,12
 ,2004,신규,21.07~22.07,2021,용비어천가,내수동,"1,000",종로구,7,75,12,30.36, , ,75,11110,9
 ,2004,갱신,21.07~22.07,2021,용비어천가,내수동,"1,000",종로구,7,85,15,37.56,"1,000",85,75,11110,5
 ,2004, , ,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,7,60,16,32.43, , ,71,11110,9
 ,2004, , ,2021,용비어천가,내수동,"1,000",종로구,7,95,17,42.46, , ,75,11110,5
 ,2004,신규,21.08~22.08,2021,광화문시대,내수동,"27,000",종로구,7,0,21,40.26, , ,74,11110,18
 ,2004,신규,21.07~22.07,2021,용비어천가,내수동,"10,000",종로구,7,50,22,33, , ,75,11110,12
 ,2004,신규,21.09~23.09,2021,경희궁의 아침 2단지,내수동,"20,000",종로구,7,20,26,32.43, , ,71,11110,16
 ,2004,신규,21.09~22.09,2021,용비어천가,내수동,"23,000",종로구,7,0,26,30.36, , ,75,11110,7
 ,2020,신규,21.08~23.08,2021,디팰리스,신문로2가,"100,000",종로구,7,0,3,79.14, , ,171,11110,2
 ,2020,신규,21.08~22.08,2021,디팰리스,신문로2가,"2,000",종로구,7,190,22,40.15, , ,171,11110,4
 ,2004,신규,21.07~22.07,2021,BIZ-WELL 종로 오피스텔,익선동,500,종로구,7,50,21,17.27, , ,34,11110,5
 ,2004,신규,21.09~22.09,2021,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,7,50,24,18.83, , ,34,11110,8
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"5,000",종로구,7,65,1,38.59, , ,89-4,11110,7
 ,2005,신규,21.07~23.07,2021,운현궁 에스케이 허브,경운동,"1,000",종로구,7,100,2,41.12, , ,89-4,11110,3
 ,2005,신규,21.08~22.08,2021,운현궁 에스케이 허브,경운동,"1,000",종로구,7,100,10,42.69, , ,89-4,11110,9
 ,2003,신규,21.07~22.07,2021,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,7,60,8,24.03, , ,95,11110,2
 ,2019, ,21.08~23.08,2021,로얄파크뷰,연지동,"16,000",종로구,7,0,12,18.06, , ,238-5,11110,5
 ,2019, ,21.08~23.08,2021,로얄파크뷰,연지동,"17,850",종로구,7,0,17,18.06, , ,238-5,11110,8
 ,2015,신규,21.08~22.08,2021,아르젠종로,연지동,"1,000",종로구,7,52,26,15.89, , ,163-3,11110,8
 ,2019, ,21.08~22.08,2021,로얄파크뷰,연지동,"2,000",종로구,7,68,29,18.66, , ,238-5,11110,6
 ,2003,신규,21.08~24.01,2021,반도 보라 아이비 타워,효제동,"1,000",종로구,7,70,10,30.94, , ,45,11110,10
 ,2019, , ,2021,케이디오피스텔,숭인동,"15,000",종로구,7,10,2,18.18, , ,217-26,11110,5
 ,2005,신규,21.07~22.07,2021,동양파라빌,숭인동,"1,000",종로구,7,60,2,27.09, , ,1388,11110,11
 ,2013,신규,21.08~22.08,2021,버넷하임1,숭인동,500,종로구,7,60,3,25.88, , ,1421,11110,8
 ,2013,신규,21.07~22.07,2021,종로 아인스빌,숭인동,"1,000",종로구,7,50,3,17.88, , ,1392-1,11110,8
 ,2013,신규,21.07~22.02,2021,종로 동광모닝스카이,숭인동,500,종로구,7,55,3,19.95, , ,1421-1,11110,2
 ,2013,신규,21.07~22.07,2021,버넷하임1,숭인동,500,종로구,7,57,3,25.88, , ,1421,11110,5
 ,2013,신규,21.08~22.08,2021,종로 동광모닝스카이,숭인동,"12,500",종로구,7,0,3,19.95, , ,1421-1,11110,6
 ,2013,신규,21.07~22.07,2021,종로 아인스빌,숭인동,500,종로구,7,55,3,17.88, , ,1392-1,11110,9
 ,2016,신규,21.07~22.07,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,3,21.36, , ,1396,11110,14
 ,2014,신규,21.07~22.07,2021,숭인한양LEEPS,숭인동,"2,000",종로구,7,45,5,17.07, , ,1421-2,11110,15
 ,2013,신규,21.07~22.07,2021,종로 아인스빌,숭인동,500,종로구,7,55,5,17.88, , ,1392-1,11110,9
 ,2016,신규,21.07~22.07,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,5,21.36, , ,1396,11110,13
 ,2020,신규,21.07~23.07,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,7,0,5,27.18, , ,217-16,11110,5
사용,2016,갱신,21.07~23.07,2021,아이비씨 호텔 앤 오피스텔,숭인동,"13,650",종로구,7,0,6,21.62,"13,000", ,1396,11110,12
 ,2005, ,21.08~22.07,2021,경일오피스텔,숭인동,"1,000",종로구,7,46,6,20.14, , ,1367,11110,4
 ,2013,신규,21.07~23.07,2021,종로 아인스빌,숭인동,"12,600",종로구,7,0,6,17.88, , ,1392-1,11110,2
 ,2005,신규,21.07~22.07,2021,경일오피스텔,숭인동,"3,000",종로구,7,40,7,22.42, , ,1367,11110,12
 ,2014, ,21.08~22.08,2021,디세븐,숭인동,500,종로구,7,45,7,15.46, , ,313-12,11110,5
 ,2013,갱신,21.07~21.09,2021,종로 동광모닝스카이,숭인동,"12,000",종로구,7,0,8,19.95,"12,000", ,1421-1,11110,4
 ,2005,신규,21.08~22.08,2021,동양파라빌,숭인동,500,종로구,7,60,8,27.09, , ,1388,11110,9
 ,2016,갱신,21.08~23.08,2021,아이비씨 호텔 앤 오피스텔,숭인동,"13,125",종로구,7,0,9,21.59,"12,500", ,1396,11110,14
 ,2005,신규,21.07~22.07,2021,엘리시앙오피스텔,숭인동,"1,000",종로구,7,55,9,34.38, , ,200-33,11110,6
 ,2014,갱신,21.07~22.07,2021,디세븐,숭인동,500,종로구,7,42,9,13.44,500,40,313-12,11110,5
 ,2016,신규,21.07~22.07,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,10,21.45, , ,1396,11110,16
 ,2020,신규,21.07~22.07,2021,헤스티아,숭인동,"1,000",종로구,7,45,10,13.12, , ,317-48,11110,11
 ,2016,신규,21.08~22.08,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,12,21.36, , ,1396,11110,7
 ,2019, ,21.07~22.07,2021,케이디오피스텔,숭인동,"15,500",종로구,7,0,12,18.18, , ,217-26,11110,5
 ,2016,신규,21.08~22.08,2021,아폴리움 오피스텔,숭인동,500,종로구,7,55,13,15.2, , ,201-7,11110,10
 ,2016,신규,21.08~22.08,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,13,21.36, , ,1396,11110,7
 ,2013,신규,21.09~23.09,2021,종로 동광모닝스카이,숭인동,"13,000",종로구,7,0,20,19.95, , ,1421-1,11110,8
 ,2016,신규,21.08~22.08,2021,아폴리움 오피스텔,숭인동,"3,000",종로구,7,42,20,16.31, , ,201-7,11110,4
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,21,21.36, , ,1396,11110,8
 ,2020, ,21.08~23.08,2021,블루카운티 숭인Ⅰ,숭인동,"22,000",종로구,7,0,21,26.97, , ,217-16,11110,2
 ,2020,신규,21.08~23.08,2021,블루카운티 숭인Ⅰ,숭인동,"22,000",종로구,7,0,21,26.97, , ,217-16,11110,2
 ,2005,신규,21.08~22.08,2021,경일오피스텔,숭인동,"3,000",종로구,7,35,22,18.82, , ,1367,11110,12
 ,2016,신규,21.08~22.08,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,7,60,22,21.45, , ,1396,11110,11
 ,2013,신규,21.08~23.08,2021,그레이스탑,숭인동,"8,000",종로구,7,15,23,23.01, , ,178-94,11110,4
 ,2014,신규,21.08~23.08,2021,숭인한양LEEPS,숭인동,"13,800",종로구,7,0,26,17.07, , ,1421-2,11110,14
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"22,000",종로구,7,0,27,27.03, , ,217-16,11110,2
 ,2020,신규,21.07~23.07,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,7,0,27,27.18, , ,217-16,11110,4
사용,2013,갱신,21.08~23.08,2021,종로 아인스빌,숭인동,"12,000",종로구,7,0,27,17.88,"12,000", ,1392-1,11110,6
 ,2013,신규,21.08~23.08,2021,그레이스탑,숭인동,"8,000",종로구,7,15,27,23.01, , ,178-94,11110,4
 ,2020,신규,21.08~23.08,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,7,0,28,27.18, , ,217-16,11110,4
 ,2005,신규,21.08~22.08,2021,동양파라빌,숭인동,"1,000",종로구,7,55,28,24.93, , ,1388,11110,9
 ,2004,신규,21.08~22.08,2021,종로대우디오빌,숭인동,"1,000",종로구,7,65,28,29.65, , ,310,11110,15
 ,2020,신규,21.08~23.08,2021,블루카운티 숭인Ⅰ,숭인동,"24,000",종로구,7,0,28,26.97, , ,217-16,11110,4
 ,2005, ,21.08~22.08,2021,경일오피스텔,숭인동,"2,000",종로구,7,38,29,18.82, , ,1367,11110,5
 ,2004,신규,21.08~22.07,2021,종로대우디오빌,숭인동,500,종로구,7,65,29,29.65, , ,310,11110,12
 ,2017,갱신,21.10~23.10,2021,블루빌,숭인동,"25,700",종로구,7,0,30,46.36,"24,500", ,243,11110,3
 ,2013, ,21.08~23.08,2021,그레이스탑,숭인동,"4,000",종로구,7,35,30,23.01, , ,178-94,11110,5
 ,2014,신규,21.08~22.08,2021,디세븐,숭인동,500,종로구,7,48,31,15.04, , ,313-12,11110,5
사용,2017,갱신,21.08~23.08,2021,경희궁자이,교북동,"24,150",종로구,7,0,1,25.91,"23,000", ,126,11110,5
 ,2017,신규,21.07~22.07,2021,경희궁자이,교북동,"10,000",종로구,7,43,7,25.91, , ,126,11110,4
사용,2017,갱신,21.07~22.07,2021,경희궁자이,교북동,"25,200",종로구,7,0,8,25.91,"24,000", ,126,11110,5
 ,2017,신규,21.07~22.07,2021,경희궁자이,교북동,"2,000",종로구,7,80,9,25.91, , ,126,11110,4
 ,2017,신규,21.08~23.08,2021,경희궁자이,교북동,"27,300",종로구,7,0,10,25.91, , ,126,11110,2
사용,2017,갱신,21.08~23.08,2021,경희궁자이,교북동,"22,050",종로구,7,0,15,25.91,"21,000", ,126,11110,2
 ,2017,신규,21.08~22.08,2021,경희궁자이,교북동,"20,000",종로구,7,35,30,25.91, , ,126,11110,2
 ,2017,신규,21.08~22.09,2021,경희궁자이,교북동,"30,000",종로구,7,0,31,25.91, , ,126,11110,4
 ,2007, ,21.07~22.07,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,7,75,21,18.6, , ,48-2,11140,6
 ,2007, ,21.08~23.01,2021,명동 엠퍼스트플레이스,충무로2가,"3,000",중구,7,67,27,18.6, , ,48-2,11140,10
 ,2016,갱신, ,2021,충무로엘크루메트로시티2,충무로5가,"17,000",중구,7,0,1,23.03,"16,000", ,36-2,11140,12
 ,2016,신규,21.07~22.07,2021,충무로엘크루메트로시티2,충무로5가,"5,000",중구,7,50,14,23.03, , ,36-2,11140,15
 ,2016,갱신,21.08~23.08,2021,충무로엘크루메트로시티2,충무로5가,"18,900",중구,7,0,15,23.03,"18,000", ,36-2,11140,15
 ,2016,신규,21.07~22.07,2021,충무로엘크루메트로시티2,충무로5가,"1,000",중구,7,70,24,23.03, , ,36-2,11140,19
 ,2021,신규,21.07~22.06,2021,충무로역 스위트엠,묵정동,"1,000",중구,7,80,1,18.47, , ,32-5,11140,7
 ,2021,신규,21.07~22.06,2021,충무로역 스위트엠,묵정동,"2,000",중구,7,80,1,18.47, , ,32-5,11140,12
 ,2021,신규,21.07~23.07,2021,충무로역 스위트엠,묵정동,"20,000",중구,7,0,2,18.97, , ,32-5,11140,6
 ,2021,신규,21.07~22.07,2021,충무로역 스위트엠,묵정동,"1,000",중구,7,87,3,18.47, , ,32-5,11140,13
 ,2021,신규,21.07~22.07,2021,충무로역 스위트엠,묵정동,"1,000",중구,7,80,3,18.57, , ,32-5,11140,8
 ,2021,신규,21.08~22.08,2021,충무로역 스위트엠,묵정동,"2,000",중구,7,75,9,18.57, , ,32-5,11140,8
 ,1999,신규,21.07~22.07,2021,광희동금호트윈 오피스텔,광희동1가,500,중구,7,40,6,19.8, , ,89-1,11140,4
 ,1999,신규,21.07~22.07,2021,광희동금호트윈 오피스텔,광희동1가,500,중구,7,45,20,22.14, , ,89-1,11140,11
 ,2005,신규,21.08~23.08,2021,성진오피스텔,광희동2가,"7,000",중구,7,10,28,22.8, , ,194-1,11140,3
