갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998,신규,21.09~23.09,2021,파크뷰타워,필운동,700,종로구,8,60,16,23.24, , ,285-5,11110,10
 ,2008,신규,21.08~22.08,2021,광화문 스페이스본,사직동,"2,000",종로구,8,90,4,39.54, , ,9,11110,5
 ,2008,신규,21.08~23.08,2021,광화문 스페이스본,사직동,"31,000",종로구,8,0,24,39.54, , ,9,11110,6
 ,2008,신규,21.08~23.08,2021,광화문 스페이스본,사직동,"37,000",종로구,8,0,24,39.54, , ,9,11110,6
 ,2004,신규,21.10~23.09,2021,경희궁의 아침 2단지,내수동,"47,000",종로구,8,0,4,57.8, , ,71,11110,10
 ,2004,신규,21.09~22.09,2021,경희궁의 아침 3단지,내수동,"20,000",종로구,8,100,5,62.92, , ,72,11110,10
 ,2004,신규,21.08~22.08,2021,용비어천가,내수동,"1,000",종로구,8,100,10,37.56, , ,75,11110,17
 ,2004,신규,21.10~23.10,2021,경희궁의 아침 3단지,내수동,"10,000",종로구,8,55,11,37.5, , ,72,11110,13
 ,2004,신규,21.08~22.08,2021,경희궁의 아침 4단지,내수동,"1,000",종로구,8,75,11,28.24, , ,73,11110,14
 ,2004,신규,21.08~23.08,2021,경희궁의 아침 3단지,내수동,"26,000",종로구,8,0,25,37.5, , ,72,11110,16
 ,2004,신규,21.09~22.09,2021,용비어천가,내수동,"5,000",종로구,8,75,30,37.56, , ,75,11110,5
 ,2004,신규,21.09~22.09,2021,경희궁의 아침 4단지,내수동,"1,000",종로구,8,75,31,28.24, , ,73,11110,14
 ,2020,신규,21.08~23.08,2021,디팰리스,신문로2가,"110,000",종로구,8,0,5,82.09, , ,171,11110,7
 ,2020,신규,21.09~23.09,2021,디팰리스,신문로2가,"56,000",종로구,8,0,17,41.63, , ,171,11110,2
 ,2020,신규,21.08~23.08,2021,디팰리스,신문로2가,"120,000",종로구,8,0,19,79.72, , ,171,11110,4
 ,2020,신규,21.09~22.09,2021,디팰리스,신문로2가,"87,000",종로구,8,0,26,51.72, , ,171,11110,7
 ,2019, ,21.09~23.02,2021,리베르떼_연지,연지동,"19,000",종로구,8,0,7,23.2, , ,222,11110,6
 ,2019, , ,2021,로얄파크뷰,연지동,"17,850",종로구,8,0,14,18.66, , ,238-5,11110,6
 ,2019,갱신,21.12~23.12,2021,로얄파크뷰,연지동,"26,500",종로구,8,0,16,37.12,"26,500", ,238-5,11110,5
 ,2021, , ,2021,대보 마로니에시티,연지동,60,종로구,8,36,27,21.41, , ,231,11110,12
 ,2021,신규,21.08~23.12,2021,대보 마로니에시티,연지동,60,종로구,8,35,27,21.41, , ,231,11110,8
