갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008,신규,22.01~24.01,2021,광화문 스페이스본,사직동,"1,000",종로구,12,110,1,39.54, , ,9,11110,6
 ,2004,신규,21.12~22.12,2021,용비어천가,내수동,"1,000",종로구,12,95,1,37.56, , ,75,11110,15
 ,2004,신규,22.02~23.02,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,12,80,4,29.41, , ,71,11110,15
 ,2004,신규,21.12~22.12,2021,경희궁의 아침 4단지,내수동,"1,000",종로구,12,75,6,28.24, , ,73,11110,10
 ,2004,신규,22.01~23.01,2021,광화문시대,내수동,"1,000",종로구,12,85,6,31.75, , ,74,11110,5
 ,2004,신규,22.01~23.01,2021,용비어천가,내수동,"1,000",종로구,12,90,7,37.56, , ,75,11110,14
 ,2004,신규,21.12~22.12,2021,광화문시대,내수동,"9,000",종로구,12,55,7,32.01, , ,74,11110,4
 ,2004,신규,22.01~23.01,2021,용비어천가,내수동,"1,000",종로구,12,90,8,37.56, , ,75,11110,14
 ,2004,신규,22.01~23.01,2021,광화문시대,내수동,"1,000",종로구,12,85,8,34.9, , ,74,11110,9
 ,2004,갱신,21.12~22.12,2021,경희궁의 아침 4단지,내수동,"1,000",종로구,12,105,8,41.74,"1,000",100,73,11110,12
사용,2004,갱신,21.12~23.12,2021,경희궁의 아침 2단지,내수동,"25,200",종로구,12,0,12,32.43,"24,000", ,71,11110,11
 ,2004,신규,22.02~24.02,2021,용비어천가,내수동,"23,000",종로구,12,0,13,33, , ,75,11110,13
 ,2004,신규,22.01~23.01,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,12,85,13,32.43, , ,71,11110,5
 ,2004,신규,22.02~23.02,2021,광화문시대,내수동,"23,000",종로구,12,0,22,32.01, , ,74,11110,8
 ,2004,신규,21.12~22.12,2021,경희궁의 아침 4단지,내수동,"10,000",종로구,12,50,23,28.24, , ,73,11110,15
 ,2004, , ,2021,경희궁의 아침 4단지,내수동,"10,000",종로구,12,0,23,28.24, , ,73,11110,15
 ,2004,신규,22.01~23.01,2021,용비어천가,내수동,"1,000",종로구,12,130,29,45.89, , ,75,11110,9
 ,2020,신규,22.02~24.02,2021,디팰리스,신문로2가,"250,000",종로구,12,0,27,128.81, , ,171,11110,8
 ,2004,신규,22.01~23.01,2021,두산위브파빌리온,수송동,"2,000",종로구,12,120,2,53.16, , ,58,11110,8
 ,2008,신규,22.01~23.01,2021,종로1가 대성스카이렉스,견지동,"10,000",종로구,12,60,6,32.76, , ,110,11110,7
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"1,000",종로구,12,75,8,23.66, , ,89-4,11110,8
 ,2004,신규,22.01~24.01,2021,나스빌,낙원동,"20,000",종로구,12,0,21,28.58, , ,212,11110,5
 ,2020,신규,22.01~24.01,2021,종로 하이뷰 디아트,관수동,"1,000",종로구,12,74,4,18.16, , ,98-1,11110,8
 ,2021,신규,21.12~22.12,2021,루비온오피스텔,인의동,"2,000",종로구,12,75,4,18.2, , ,28-26,11110,7
 ,2021,신규,22.01~23.07,2021,루비온오피스텔,인의동,"19,000",종로구,12,0,10,18.2, , ,28-26,11110,6
 ,2021,신규,22.01~24.01,2021,루비온오피스텔,인의동,"18,000",종로구,12,0,11,18.2, , ,28-26,11110,3
 ,2021,신규,22.01~24.01,2021,루비온오피스텔,인의동,"21,000",종로구,12,0,11,18.2, , ,28-26,11110,10
 ,2021,신규,21.12~23.12,2021,루비온오피스텔,인의동,"22,000",종로구,12,0,13,18.2, , ,28-26,11110,11
 ,2021, , ,2021,루비온오피스텔,인의동,"20,000",종로구,12,0,16,18.2, , ,28-26,11110,12
 ,2021,신규,22.01~24.01,2021,루비온오피스텔,인의동,"20,000",종로구,12,0,18,18.2, , ,28-26,11110,10
 ,2003,신규,22.02~24.02,2021,코윈 팔레스뷰 오피스텔,원남동,"14,700",종로구,12,0,21,21.01, , ,95,11110,3
 ,2003,신규,22.01~24.01,2021,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,12,60,21,24.03, , ,95,11110,6
 ,2020,신규,21.12~22.12,2021,센트럴시티대학로,효제동,"1,000",종로구,12,67,4,17.28, , ,167,11110,6
 ,2020,신규,21.12~22.12,2021,센트럴시티대학로,효제동,"1,000",종로구,12,70,4,17.57, , ,167,11110,9
 ,2020,신규,22.01~23.01,2021,센트럴시티대학로,효제동,"2,000",종로구,12,60,16,17.28, , ,167,11110,9
 ,2020,갱신,21.12~23.06,2021,센트럴시티대학로,효제동,"3,000",종로구,12,60,21,17.57,"3,500",45,167,11110,7
 ,2020, , ,2021,센트럴시티대학로,효제동,"1,500",종로구,12,63,29,17.28, , ,167,11110,2
 ,2020,신규,22.01~22.12,2021,센트럴시티대학로,효제동,"1,000",종로구,12,75,31,17.28, , ,167,11110,11
 ,2003,신규,21.12~23.12,2021,M스테이트,연건동,"10,000",종로구,12,0,27,27.92, , ,317,11110,2
 ,2021, , ,2021,(255-1),창신동,"23,300",종로구,12,0,1,15.59, , ,255-1,11110,10
 ,2021, , ,2021,(255-1),창신동,"27,500",종로구,12,0,16,19.37, , ,255-1,11110,10
 ,2021,신규,21.12~23.12,2021,(255-1),창신동,"23,800",종로구,12,0,21,17.8, , ,255-1,11110,6
 ,2021,신규,21.12~23.12,2021,숭인한성아펠시티,숭인동,"27,000",종로구,12,0,1,22.28, , ,1368,11110,14
 ,2005,신규,21.12~22.12,2021,경일오피스텔,숭인동,"1,000",종로구,12,48,2,20.14, , ,1367,11110,3
 ,2021,신규,21.12~22.12,2021,숭인한성아펠시티,숭인동,"1,000",종로구,12,85,2,21.45, , ,1368,11110,4
 ,2013,신규,21.12~22.12,2021,	(1392)	,숭인동,"5,000",종로구,12,35,3,20.18, , ,1392,11110,4
 ,2013,갱신,21.12~23.12,2021,버넷하임1,숭인동,"13,000",종로구,12,0,3,24.77,"13,000", ,1421,11110,5
 ,2005, , ,2021,경일오피스텔,숭인동,"3,000",종로구,12,35,4,18.82, , ,1367,11110,7
 ,2005,신규,22.01~23.01,2021,동양파라빌,숭인동,"1,000",종로구,12,60,4,27.09, , ,1388,11110,13
사용,2013,갱신,22.01~24.01,2021,종로 동광모닝스카이,숭인동,"12,000",종로구,12,0,4,19.95,"12,000", ,1421-1,11110,8
 ,2005, ,22.01~23.01,2021,경일오피스텔,숭인동,"3,000",종로구,12,40,6,25.68, , ,1367,11110,5
 ,2014,신규,21.12~22.12,2021,삼전솔하임4차,숭인동,500,종로구,12,55,6,19.17, , ,318-2,11110,5
 ,없음,신규,21.12~23.12,2021,INSPIRE [케이디종합건설 (주)],숭인동,"13,300",종로구,12,0,6,12.57, , ,298-9,11110,4
 ,2016,신규,22.01~24.01,2021,아폴리움 오피스텔,숭인동,"13,000",종로구,12,0,7,15.2, , ,201-7,11110,6
 ,2004,신규,22.01~24.01,2021,종로대우디오빌,숭인동,"16,500",종로구,12,0,7,29.65, , ,310,11110,7
 ,2014,신규,22.01~23.01,2021,삼전솔하임4차,숭인동,"2,000",종로구,12,45,8,19.17, , ,318-2,11110,3
 ,2005,신규,21.12~23.08,2021,엘리시앙오피스텔,숭인동,"1,000",종로구,12,55,8,30.36, , ,200-33,11110,12
 ,2014,신규,22.02~23.02,2021,삼전솔하임4차,숭인동,500,종로구,12,56,8,19.17, , ,318-2,11110,2
 ,2021, , ,2021,숭인한성아펠시티,숭인동,"27,000",종로구,12,0,9,22.28, , ,1368,11110,10
